Timestamp,Parking_Spot_ID,User_Type,Weather_Precipitation,Nearby_Traffic_Level,Entry_Time,Exit_Time,Electric_Vehicle,Reserved_Status,Payment_Amount,Parking_Lot_Section,Payment_Status,Occupancy_Status,Vehicle_Type,Parking_Duration,Spot_Size,Proximity_To_Exit,User_Parking_History,occupancy,Weather_Category,Vehicle_Size
2021-01-01 00:00:00.000000000,20,visitor,Yes,low,18:00:00,09:00:00,False,True,2.2897744750054376,zone a,paid,occupied,car,4,standard,6.610473981779346,6.6603099185298,Yes,Cool ,Big 
2021-01-02 06:39:16.756756756,49,registered,No,low,03:00:00,13:00:00,True,False,0.6719833299772372,zone a,unpaid,occupied,car,3,compact,8.678718508140866,6.766187298396955,No,Cool ,Small 
2021-01-03 13:18:33.513513513,38,registered,No,high,13:00:00,01:00:00,False,False,0.8282931403922983,zone b,paid,vacant,car,5,standard,13.795261925540462,-0.9100518975538608,No,Warm ,Small 
2021-01-04 19:57:50.270270270,31,visitor,No,medium,15:00:00,15:00:00,False,False,14.273130664905292,zone b,paid,vacant,motorcycle,2,standard,1.6787205984170137,10.415888283567073,No,Cool ,Big 
2021-01-06 02:37:07.027027027,8,visitor,No,high,19:00:00,18:00:00,True,True,5.884322571178742,zone c,paid,occupied,car,2,standard,20.012252198732583,4.355543654437168,No,Cool ,Big 
2021-01-07 09:16:23.783783783,8,registered,No,low,23:00:00,07:00:00,False,False,12.952884203673314,zone d,overdue,vacant,car,1,standard,32.06621474520797,5.556890674838012,No,Cool ,Big 
2021-01-08 15:55:40.540540540,3,registered,No,medium,05:00:00,14:00:00,False,False,11.466072026884277,zone a,paid,vacant,electric vehicle,5,standard,8.370167467076254,4.332722240056197,Yes,Warm ,Big 
2021-01-09 22:34:57.297297297,45,registered,No,low,22:00:00,09:00:00,False,True,1.4544489080496803,zone c,paid,occupied,car,4,standard,11.465559786103912,9.270307775990505,No,Warm ,Big 
2021-01-11 05:14:14.054054054,31,registered,No,low,05:00:00,04:00:00,False,False,1.541866036968245,zone a,paid,vacant,electric vehicle,3,standard,19.64924140648553,7.578687481855916,No,Warm ,Big 
2021-01-12 11:53:30.810810810,37,staff,No,low,02:00:00,19:00:00,True,False,14.078940250909692,zone b,paid,vacant,electric vehicle,5,standard,4.69700685404256,9.21501387647664,No,Cool ,Small 
2021-01-13 18:32:47.567567567,2,visitor,No,low,14:00:00,15:00:00,False,False,12.775055852148594,zone a,paid,vacant,car,2,oversized,49.38099987982095,5.94646614978473,No,Cool ,Big 
2021-01-15 01:12:04.324324324,50,registered,No,low,02:00:00,20:00:00,True,True,4.748646518945145,zone a,unpaid,occupied,car,4,oversized,11.410022909543189,6.824294054032918,No,Warm ,Small 
